goos: linux
goarch: amd64
pkg: uk.ac.bris.cs/concurrency1/filter
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
,results.out
,sec/op,CI
Filter/1_workers-8,1.0870513585000001,11%
Filter/2_workers-8,0.828107261,18%
Filter/4_workers-8,0.497114622,28%
Filter/8_workers-8,0.470984556,12%
Filter/16_workers-8,0.361583068,14%
geomean,0.5975876162130456
